case_id,contact_sheet_path,crop_path,crop_status,distance_to_nearest_prediction_center,image_filename,iou_with_nearest_prediction,likely_recoverable_by,nearest_predicted_label,nearest_prediction_bbox,nearest_prediction_target_type,primary_failure_class,recovery_reason,reference_area,reference_area_ratio,reference_bbox,reference_label,reference_position,reviewer_note,risk_to_case_110,risk_to_controls_155_166_office,risk_to_dense_cases,target_type,taxonomy_tags
11,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_11_target_1_buildings.jpg,generated_local_only,,11.jpg,,,,,,building_or_structure_piece,,,,"[0.0, 200.0, 720.0, 801.0]",target_1,,,,,,buildings,
14,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_adjacent_target_confusion.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_14_target_1_military_equipment.jpg,generated_local_only,,14.jpg,,,,,,adjacent_target_confusion,,,,"[326.0, 247.0, 498.0, 433.0]",target_1,,,,,,military_equipment,
20,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_20_target_2_buildings.jpg,generated_local_only,,20.jpg,,,,,,building_or_structure_piece,,,,"[1291.0, 408.0, 1433.0, 550.0]",target_2,,,,,,buildings,
21,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_21_target_3_buildings.jpg,generated_local_only,,21.jpg,,,,,,building_or_structure_piece,,,,"[3.0, 213.0, 96.0, 312.0]",target_3,,,,,,buildings,
40,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_building_or_structure_piece.jpg,,missing_source_image,0.31813,40.png,0.268607,C,target_0,"[0.0, 0.0, 792.0, 306.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,65912.0,0.187016,"[0.0, 1.0, 214.0, 309.0]",target_1,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
42,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_adjacent_target_confusion.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_42_target_2_military_equipment.jpg,generated_local_only,,42.png,,,,,,adjacent_target_confusion,,,,"[1221.0, 228.0, 1918.0, 711.0]",target_2,,,,,,military_equipment,
44,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_adjacent_target_confusion.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_44_target_1_military_equipment.jpg,generated_local_only,,44.jpg,,,,,,adjacent_target_confusion,,,,"[7.0, 415.0, 443.0, 815.0]",target_1,,,,,,military_equipment,
44,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_adjacent_target_confusion.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_44_target_3_military_equipment.jpg,generated_local_only,,44.jpg,,,,,,adjacent_target_confusion,,,,"[529.0, 709.0, 1179.0, 1110.0]",target_3,,,,,,military_equipment,
53,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_adjacent_target_confusion.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_53_target_3_military_equipment.jpg,generated_local_only,,53.jpg,,,,,,adjacent_target_confusion,,,,"[1379.0, 603.0, 1841.0, 758.0]",target_3,,,,,,military_equipment,
67,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_class_dense_valid_target_missed.jpg,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v048_fp8_fn_recovery_crop_verifier_loop/review_images/local_only_fn_crops/local_only_fn_case_67_target_5_military_equipment.jpg,generated_local_only,,67.jpg,,,,,,dense_valid_target_missed,,,,"[185.0, 184.0, 201.0, 200.0]",target_5,,,,,,military_equipment,
