case_id,distance_to_nearest_prediction_center,image_filename,iou_with_nearest_prediction,likely_recoverable_by,nearest_predicted_label,nearest_prediction_bbox,nearest_prediction_target_type,primary_failure_class,recovery_reason,reference_area,reference_area_ratio,reference_bbox,reference_label,reference_position,reviewer_note,risk_to_case_110,risk_to_controls_155_166_office,risk_to_dense_cases,target_type,taxonomy_tags
11,0.2147,11.jpg,0.01597,C,target_0,"[180.0, 751.0, 320.0, 841.0]",military_equipment,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,432720.0,0.469531,"[0.0, 200.0, 720.0, 801.0]",target_1,middle_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
14,0.104957,14.jpg,0.426618,C,target_0,"[360.0, 65.0, 496.0, 425.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,31992.0,0.088867,"[326.0, 247.0, 498.0, 433.0]",target_1,lower_center,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,edge_or_boundary_target;adjacent_target_confusion
20,0.472954,20.jpg,0.0,C,target_0,"[122.0, 36.0, 967.0, 894.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,20164.0,0.014551,"[1291.0, 408.0, 1433.0, 550.0]",target_2,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target
21,0.319354,21.jpg,0.0,C,target_0,"[146.0, 26.0, 418.0, 302.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,9207.0,0.030451,"[3.0, 213.0, 96.0, 312.0]",target_3,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target
40,0.31813,40.png,0.268607,C,target_0,"[0.0, 0.0, 792.0, 306.0]",buildings,building_or_structure_piece,crop-level verifier can separate reference building pieces from ambiguous structure context,65912.0,0.187016,"[0.0, 1.0, 214.0, 309.0]",target_1,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,buildings,building_or_structure_piece;edge_or_boundary_target;adjacent_target_confusion
42,0.248157,42.png,0.377557,C,target_0,"[163.0, 260.0, 1914.0, 693.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,336651.0,0.185544,"[1221.0, 228.0, 1918.0, 711.0]",target_2,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,edge_or_boundary_target;adjacent_target_confusion
44,0.06443,44.jpg,0.261214,C,target_0,"[0.0, 534.0, 737.0, 1100.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,174400.0,0.02758,"[7.0, 415.0, 443.0, 815.0]",target_1,upper_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,edge_or_boundary_target;adjacent_target_confusion
44,0.128513,44.jpg,0.13635,C,target_0,"[0.0, 534.0, 737.0, 1100.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,260650.0,0.04122,"[529.0, 709.0, 1179.0, 1110.0]",target_3,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,adjacent_target_confusion
53,0.030748,53.jpg,0.197796,C,target_1,"[1118.0, 455.0, 1958.0, 886.0]",military_equipment,adjacent_target_confusion,crop-level verifier can compare the missed reference against nearby predictions,71610.0,0.029607,"[1379.0, 603.0, 1841.0, 758.0]",target_3,middle_right,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,false,military_equipment,adjacent_target_confusion
67,0.010559,67.jpg,0.231405,B,target_6,"[168.0, 176.0, 197.0, 198.0]",military_equipment,dense_valid_target_missed,crop/tiling pass can increase local resolution without globally relaxing the prompt,256.0,0.000494,"[185.0, 184.0, 201.0, 200.0]",target_5,middle_left,"Initial geometry inventory; crop review should decide whether this is visually obvious, ambiguous, or verifier-needed.",false,false,true,military_equipment,dense_valid_target_missed;small_valid_target_missed;adjacent_target_confusion
