label,tile_id,case_id,image_filename,strategy,accepted,reject_reason,target_type,full_bbox,confidence,visibility,damage_or_relevance,reason,raw_eval_status,after_postprocess_eval_status
v050_tile_001,42_A_grid_0_1,42,42.png,A,True,,military_equipment,"[337.0, 359.0, 997.0, 945.0]",0.99,clear,damaged_or_bda_relevant,tank with visible structural damage and missing components,FP,FP
v050_tile_002,42_A_grid_1_1,42,42.png,A,True,,military_equipment,"[729.0, 359.0, 1727.0, 934.0]",0.99,clear,damaged_or_bda_relevant,severely damaged military vehicle with visible structural collapse and exposed internal components,FP,FP
v050_tile_003,42_C_anchor_0,42,42.png,C,True,,military_equipment,"[78.0, 270.0, 997.0, 738.0]",0.99,clear,damaged_or_bda_relevant,tank is heavily damaged with exposed internal components and missing armor,TP,TP
v050_tile_001,44_A_grid_0_0,44,44.jpg,A,True,,military_equipment,"[0.0, 170.0, 420.0, 950.0]",0.99,smoke_obscured,damaged_or_bda_relevant,"burning wreckage with visible fire and smoke, clearly damaged",TP,TP
v050_tile_002,44_A_grid_0_0,44,44.jpg,A,True,,military_equipment,"[370.0, 550.0, 880.0, 980.0]",0.99,clear,damaged_or_bda_relevant,"tank with visible damage and smoke, appears destroyed or heavily damaged",TP,TP
v050_tile_003,44_A_grid_0_1,44,44.jpg,A,True,,military_equipment,"[288.0, 1079.0, 562.0, 1573.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_004,44_A_grid_0_1,44,44.jpg,A,True,,military_equipment,"[456.0, 1179.0, 812.0, 1673.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_005,44_A_grid_0_1,44,44.jpg,A,True,,military_equipment,"[738.0, 979.0, 998.0, 1305.0]",0.98,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_006,44_A_grid_0_1,44,44.jpg,A,True,,military_equipment,"[522.0, 729.0, 888.0, 1079.0]",0.97,clear,damaged_or_bda_relevant,tank with visible damage and debris around,TP,TP
v050_tile_007,44_A_grid_0_1,44,44.jpg,A,True,,military_equipment,"[198.0, 729.0, 562.0, 1079.0]",0.96,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_008,44_A_grid_1_0,44,44.jpg,A,True,,military_equipment,"[1273.0, 576.0, 1549.0, 984.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_009,44_A_grid_1_1,44,44.jpg,A,True,,military_equipment,"[1273.0, 1190.0, 1448.0, 1605.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_010,44_B_middle_lower_strip,44,44.jpg,B,True,,military_equipment,"[0.0, 660.0, 357.0, 1148.0]",0.99,clear,damaged_or_bda_relevant,multiple tanks destroyed with visible damage and debris,FP,FP
v050_tile_011,44_B_middle_lower_strip,44,44.jpg,B,True,,military_equipment,"[560.0, 660.0, 870.0, 880.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_012,44_B_middle_lower_strip,44,44.jpg,B,True,,military_equipment,"[480.0, 972.0, 730.0, 1360.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_013,44_B_lower_strip,44,44.jpg,B,True,,military_equipment,"[163.0, 1175.0, 357.0, 1825.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_014,44_C_anchor_0,44,44.jpg,C,True,,military_equipment,"[769.0, 1272.0, 1272.0, 1847.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and missing components,FP,FP
v050_tile_015,44_C_anchor_0,44,44.jpg,C,True,,military_equipment,"[1172.0, 1022.0, 1520.0, 1422.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and missing components,FP,FP
v050_tile_016,44_C_anchor_0,44,44.jpg,C,True,,military_equipment,"[897.0, 897.0, 1347.0, 1172.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and missing components,FP,FP
v050_tile_017,44_C_anchor_0,44,44.jpg,C,True,,military_equipment,"[522.0, 897.0, 932.0, 1147.0]",0.99,clear,damaged_or_bda_relevant,tank with visible damage and missing components,FP,FP
v050_tile_018,44_C_anchor_2,44,44.jpg,C,True,,military_equipment,"[1909.0, 452.0, 2568.0, 944.0]",0.98,clear,damaged_or_bda_relevant,"tank heavily damaged, hull and turret destroyed, debris scattered",FP,FP
v050_tile_019,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[268.0, 400.0, 588.0, 750.0]",0.98,clear,damaged_or_bda_relevant,multiple tanks destroyed with fire and smoke,FP,FP
v050_tile_020,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[578.0, 470.0, 828.0, 750.0]",0.95,clear,damaged_or_bda_relevant,tank with visible damage and debris around,FP,FP
v050_tile_021,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[918.0, 330.0, 1248.0, 600.0]",0.93,clear,damaged_or_bda_relevant,tank heavily damaged and overturned,FP,FP
v050_tile_022,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[1048.0, 630.0, 1267.0, 900.0]",0.92,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_023,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[368.0, 750.0, 588.0, 1050.0]",0.91,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
v050_tile_024,44_D_center_broad,44,44.jpg,D,True,,military_equipment,"[498.0, 830.0, 748.0, 1100.0]",0.9,clear,damaged_or_bda_relevant,tank with visible damage and debris,FP,FP
