case_id,image_filename,reference_label,target_type,reference_bbox,visual_class,likely_recoverable_by,risk_to_dense_cases,risk_to_false_positives,reviewer_note
11,11.jpg,target_1,buildings,"[0.0, 200.0, 720.0, 801.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
14,14.jpg,target_1,military_equipment,"[326.0, 247.0, 498.0, 433.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
20,20.jpg,target_2,buildings,"[1291.0, 408.0, 1433.0, 550.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
21,21.jpg,target_3,buildings,"[3.0, 213.0, 96.0, 312.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
40,40.png,target_1,buildings,"[0.0, 1.0, 214.0, 309.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
42,42.png,target_2,military_equipment,"[1221.0, 228.0, 1918.0, 711.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
44,44.jpg,target_1,military_equipment,"[7.0, 415.0, 443.0, 815.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
44,44.jpg,target_3,military_equipment,"[529.0, 709.0, 1179.0, 1110.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
53,53.jpg,target_3,military_equipment,"[1379.0, 603.0, 1841.0, 758.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
67,67.jpg,target_5,military_equipment,"[185.0, 184.0, 201.0, 200.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
70,70.jpg,target_2,buildings,"[135.0, 1.0, 588.0, 278.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
76,76.jpg,target_1,buildings,"[403.0, 488.0, 801.0, 939.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
76,76.jpg,target_2,buildings,"[826.0, 679.0, 936.0, 971.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
84,84.jpg,target_7,military_equipment,"[72.0, 184.0, 82.0, 244.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
84,84.jpg,target_8,military_equipment,"[58.0, 204.0, 68.0, 240.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
84,84.jpg,target_9,military_equipment,"[53.0, 208.0, 64.0, 238.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
84,84.jpg,target_10,military_equipment,"[691.0, 127.0, 765.0, 332.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
84,84.jpg,target_11,military_equipment,"[0.0, 190.0, 12.0, 236.0]",dense_valid_target_missed,B,true,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
95,95.jpg,target_2,buildings,"[1.0, 8.0, 895.0, 476.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
100,100.jpg,target_1,buildings,"[0.0, 37.0, 149.0, 574.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
100,100.jpg,target_3,buildings,"[844.0, 4.0, 1078.0, 541.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
102,102.jpg,target_1,buildings,"[270.0, 49.0, 1521.0, 738.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
108,108.jpg,target_2,buildings,"[1297.0, 288.0, 1694.0, 478.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
110,110.jpg,target_4,military_equipment,"[151.0, 42.0, 168.0, 65.0]",smoke_or_debris_obscured,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
110,110.jpg,target_5,military_equipment,"[150.0, 25.0, 169.0, 43.0]",smoke_or_debris_obscured,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
110,110.jpg,target_6,military_equipment,"[99.0, 12.0, 110.0, 29.0]",smoke_or_debris_obscured,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
110,110.jpg,target_7,military_equipment,"[17.0, 8.0, 28.0, 20.0]",smoke_or_debris_obscured,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
141,141.jpg,target_3,military_equipment,"[186.0, 40.0, 201.0, 92.0]",small_valid_target_missed,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
146,146.jpg,target_2,military_equipment,"[1.0, 160.0, 55.0, 187.0]",small_valid_target_missed,B,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
147,147.jpg,target_2,buildings,"[207.0, 23.0, 294.0, 92.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
147,147.jpg,target_3,buildings,"[337.0, 20.0, 423.0, 89.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
154,154.jpg,target_2,buildings,"[1.0, 1.0, 613.0, 224.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
160,160.jpg,target_3,buildings,"[270.0, 3.0, 477.0, 68.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
160,160.jpg,target_4,buildings,"[44.0, 5.0, 206.0, 59.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
160,160.jpg,target_5,buildings,"[516.0, 1.0, 590.0, 84.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
161,161.jpg,target_1,buildings,"[16.0, 111.0, 612.0, 245.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
164,164.jpg,target_2,buildings,"[480.0, 159.0, 613.0, 289.0]",building_or_structure_piece,D,false,low,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
169,169.jpg,target_1,military_equipment,"[1.0, 98.0, 175.0, 322.0]",unknown,C,false,medium,Needs crop/verifier or tiling review before any recall prompt; broad prompt recall is unsafe after prior dense-row failures.
