case_id,image_filename,removed_label,removed_target_type,removed_bbox,rule_reason,visual_verdict,removal_should_be_trusted,generalizes_safely,reviewer_note,source_artifact_path
103,103.jpg,target_0,buildings,"[238.0, 328.0, 745.0, 525.0]",lower-left mid building context cleanup,context artifact,true,limited_needs_replay,"intact adjacent school/annex building, not battle-damaged target evidence.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_103_review.jpg
105,105.jpg,target_2,buildings,"[1505.0, 356.0, 1836.0, 562.0]",right-edge small building context cleanup,context artifact,true,limited_needs_replay,"right-edge canopy/tennis-court context, not a damaged building target.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_105_review.jpg
110,110.jpg,target_0,military_equipment,"[109.0, 42.0, 133.0, 73.0]",upper-left small military-equipment context or dense-tail cleanup,context artifact,true,limited_needs_replay,"small pole/roadside/vehicle-edge context above the convoy, not a separate equipment target.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_110_review.jpg
19,19.jpg,target_0,buildings,"[1014.0, 81.0, 1200.0, 300.0]",right-edge small building context cleanup,context artifact,true,limited_needs_replay,"right-edge statue/base and fence context beside the destroyed vehicle scene, not a building target for BDA scoring.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_19_review.jpg
66,66.jpg,target_4,military_equipment,"[94.0, 269.0, 117.0, 299.0]",mid-left lower tiny military-equipment tail cleanup,ambiguous,false,false,"tiny far-tail convoy/vehicle sliver; may be real military equipment, so suppressing it is not safe enough to lock.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_66_review.jpg
67,67.jpg,target_0,military_equipment,"[29.0, 150.0, 58.0, 172.0]",upper-left small military-equipment context or dense-tail cleanup,ambiguous,false,false,"tiny far-left object/dust cue in a dense armor row; could be a real distant vehicle, so this threatens dense recall.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_67_review.jpg
67,67.jpg,target_1,military_equipment,"[48.0, 154.0, 77.0, 176.0]",upper-left small military-equipment context or dense-tail cleanup,ambiguous,false,false,"tiny far-left object/dust cue in a dense armor row; could be a real distant vehicle, so this threatens dense recall.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_67_review.jpg
67,67.jpg,target_2,military_equipment,"[67.0, 158.0, 96.0, 181.0]",upper-left small military-equipment context or dense-tail cleanup,ambiguous,false,false,"tiny far-left object/dust cue in a dense armor row; could be a real distant vehicle, so this threatens dense recall.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_67_review.jpg
77,77.jpg,target_1,buildings,"[1527.0, 0.0, 1880.0, 642.0]",right-edge tall building context band cleanup,context artifact,true,limited_needs_replay,"right-edge adjacent damaged-building slice, broad context separate from the central annotated building body.",/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_77_review.jpg
92,92.jpg,target_1,military_equipment,"[428.0, 177.0, 561.0, 279.0]",mid-right military-equipment context band cleanup,real target,false,false,box covers a visible trailer/cargo component attached to military equipment; suppressing cross-object equipment is visually unsafe.,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_92_review.jpg
97,97.jpg,target_1,buildings,"[806.0, 0.0, 1280.0, 531.0]",right-edge oversized building context band cleanup,context artifact,true,limited_needs_replay,oversized right-side alley wall/context region rather than a discrete target body.,/home/williambenitez1/Capstone_worktrees/1.2_feat__qwen3-vl-8b-instruct__two-pass-refinement/docs/prompt-lab/qwen-v015-human-report-strategy/experiments/automation/human_report_challenge_v2_prompt_iteration_workflow/cycle_001/main_promotion/v017b_prompt_only_main_promotion/v047_fp8_pp046a_visual_verification_and_fn_recovery/review_images/local_only_pp046a_case_97_review.jpg
